timestamp, package
 2017.09.05_19.24.57.283, com.lge.launcher2
 2017.09.05_19.24.59.674, com.nhn.android.webtoon
 2017.09.05_19.28.54.236, com.lge.signboard
 2017.09.05_19.30.25.311, com.nhn.android.webtoon
 2017.09.05_19.30.28.901, com.lge.signboard
 2017.09.05_19.31.28.863, com.kakao.talk
 2017.09.05_19.31.37.417, com.lge.signboard
 2017.09.05_19.33.44.109, com.kakao.talk
 2017.09.05_19.34.23.997, com.nhn.android.webtoon
 2017.09.05_19.34.35.607, com.lge.launcher2
 2017.09.05_19.34.37.204, com.instagram.android
 2017.09.05_19.34.42.820, com.lge.launcher2
 2017.09.05_19.35.02.900, com.android.mms
 2017.09.05_19.35.10.379, android
 2017.09.05_19.35.11.836, com.android.chrome
 2017.09.05_19.35.52.581, com.android.mms
 2017.09.05_19.35.53.074, com.lge.launcher2
 2017.09.05_19.35.54.030, com.android.systemui
 2017.09.05_19.35.58.613, com.facebook.katana
 2017.09.05_19.37.45.440, com.kakao.talk
 2017.09.05_19.38.00.579, com.lge.launcher2
 2017.09.05_19.38.06.917, com.android.calendar
 2017.09.05_19.39.00.329, com.lge.launcher2
 2017.09.05_19.39.04.406, com.android.calendar
 2017.09.05_19.39.09.044, com.lge.signboard
 2017.09.05_19.39.20.020, com.android.calendar
 2017.09.05_19.39.56.106, com.lge.signboard
 2017.09.05_19.40.08.395, com.lge.launcher2
 2017.09.05_19.40.13.563, com.everytime.v2
 2017.09.05_19.40.14.590, com.lge.signboard
 2017.09.05_19.40.23.855, com.everytime.v2
 2017.09.05_19.40.26.258, com.lge.signboard
 2017.09.05_19.40.35.814, com.lge.launcher2
 2017.09.05_19.40.36.740, com.android.chrome
 2017.09.05_19.40.38.719, com.lge.signboard
 2017.09.05_19.40.39.047, com.android.chrome
 2017.09.05_19.40.48.306, com.lge.signboard
 2017.09.05_19.41.07.213, com.android.chrome
 2017.09.05_19.41.07.990, com.lge.signboard
 2017.09.05_19.41.46.288, com.lge.launcher2
 2017.09.05_19.41.48.280, com.everytime.v2
 2017.09.05_19.41.50.221, com.lge.signboard
 2017.09.05_19.41.53.737, com.everytime.v2
 2017.09.05_19.41.57.027, com.lge.signboard
 2017.09.05_19.41.59.808, com.everytime.v2
 2017.09.05_19.42.42.603, com.lge.signboard
 2017.09.05_19.42.46.609, com.everytime.v2
 2017.09.05_19.42.49.355, com.lge.launcher2
 2017.09.05_19.42.49.717, com.android.systemui
 2017.09.05_19.42.54.423, com.lge.signboard
 2017.09.05_19.43.03.568, com.lge.launcher2
 2017.09.05_19.43.07.086, com.lge.signboard
 2017.09.05_19.43.46.334, com.lge.launcher2
 2017.09.05_19.43.46.973, com.android.mms
 2017.09.05_19.43.49.352, com.lge.launcher2
 2017.09.05_19.43.51.417, com.kakao.talk
 2017.09.05_19.43.54.912, com.lge.signboard
 2017.09.05_19.43.55.300, com.kakao.talk
 2017.09.05_19.44.21.174, com.lge.signboard
 2017.09.05_19.44.21.827, com.kakao.talk
 2017.09.05_19.45.06.071, com.lge.launcher2
 2017.09.05_19.45.41.774, com.lge.signboard
 2017.09.05_19.49.59.551, com.kakao.talk
 2017.09.05_19.50.08.390, com.android.systemui
 2017.09.05_19.50.15.854, com.kakao.talk
 2017.09.05_19.50.16.379, com.lge.signboard
 2017.09.05_19.50.21.921, com.kakao.talk
 2017.09.05_19.50.33.282, com.lge.launcher2
 2017.09.05_19.50.51.389, com.kakao.talk
 2017.09.05_19.51.00.965, com.lge.launcher2
 2017.09.05_19.54.09.459, com.lge.signboard
 2017.09.05_20.00.58.128, com.lge.launcher2
 2017.09.05_20.00.58.442, com.kakao.talk
 2017.09.05_20.01.05.819, com.lge.launcher2
 2017.09.05_20.01.18.947, com.kakao.talk
 2017.09.05_20.01.33.775, com.lge.signboard
 2017.09.05_20.01.43.503, com.kakao.talk
 2017.09.05_20.06.08.731, com.lge.signboard
 2017.09.05_20.06.47.024, com.kakao.talk
 2017.09.05_20.06.58.487, com.lge.launcher2
 2017.09.05_20.07.00.015, com.facebook.katana
 2017.09.05_20.08.00.523, com.lge.signboard
 2017.09.05_20.10.14.098, com.kakao.talk
 2017.09.05_20.13.27.873, com.lge.signboard
 2017.09.05_20.13.45.781, com.kakao.talk
 2017.09.05_20.13.46.890, com.lge.signboard
 2017.09.05_20.13.50.260, com.kakao.talk
 2017.09.05_20.14.05.002, com.lge.signboard
 2017.09.05_20.15.43.849, com.kakao.talk
 2017.09.05_20.15.59.469, com.lge.signboard
 2017.09.05_20.19.05.038, com.kakao.talk
 2017.09.05_20.19.31.662, com.lge.signboard
 2017.09.05_20.21.21.074, com.kakao.talk
 2017.09.05_20.21.43.146, com.lge.signboard
 2017.09.05_20.23.09.177, com.kakao.talk
 2017.09.05_20.24.21.055, com.lge.signboard
 2017.09.05_20.26.40.343, com.kakao.talk
 2017.09.05_20.27.17.766, com.lge.launcher2
 2017.09.05_20.27.26.877, com.skt.prod.tphonelite
 2017.09.05_20.27.28.989, com.lge.signboard
 2017.09.05_20.27.31.530, com.skt.prod.tphonelite
 2017.09.05_20.31.28.617, com.kakao.talk
 2017.09.05_20.31.51.113, com.skt.prod.tphonelite
 2017.09.05_20.31.51.971, com.lge.launcher2
 2017.09.05_20.31.53.310, com.lge.signboard
 2017.09.05_20.32.21.353, com.kakao.talk
 2017.09.05_20.32.55.445, com.lge.launcher2
 2017.09.05_20.32.56.750, com.facebook.katana
 2017.09.05_20.32.57.841, com.lge.signboard
 2017.09.05_20.33.16.051, com.facebook.katana
 2017.09.05_20.36.24.537, com.lge.signboard
 2017.09.05_20.40.10.614, com.facebook.katana
 2017.09.05_20.40.11.271, com.lge.signboard
 2017.09.05_20.40.12.242, com.kakao.talk
 2017.09.05_20.40.38.402, com.android.systemui
 2017.09.05_20.40.45.167, com.lge.signboard
 2017.09.05_20.40.47.223, com.kakao.talk
 2017.09.05_20.41.00.570, com.lge.signboard
 2017.09.05_20.41.32.053, com.kakao.talk
 2017.09.05_20.42.20.313, com.facebook.katana
 2017.09.05_20.42.38.370, com.kakao.talk
 2017.09.05_20.43.42.068, com.lge.signboard
 2017.09.05_20.43.48.144, com.kakao.talk
 2017.09.05_20.43.49.776, com.facebook.katana
 2017.09.05_20.43.52.749, com.lge.launcher2
 2017.09.05_20.43.55.769, com.lge.signboard
 2017.09.05_20.44.23.856, com.kakao.talk
 2017.09.05_20.44.24.810, com.lge.signboard
 2017.09.05_20.44.25.860, com.kakao.talk
 2017.09.05_20.45.25.496, com.lge.signboard
 2017.09.05_20.47.10.445, com.kakao.talk
 2017.09.05_20.47.20.037, com.lge.launcher2
 2017.09.05_20.47.23.435, com.nhn.android.search
 2017.09.05_20.47.24.250, com.lge.signboard
 2017.09.05_20.47.26.120, com.nhn.android.search
 2017.09.05_20.47.41.814, com.lge.signboard
 2017.09.05_20.48.05.324, com.kakao.talk
 2017.09.05_20.48.06.467, com.lge.signboard
 2017.09.05_20.48.07.728, com.kakao.talk
 2017.09.05_20.48.22.184, com.lge.signboard
 2017.09.05_20.48.22.464, com.kakao.talk
 2017.09.05_20.48.30.862, com.lge.signboard
 2017.09.05_20.50.50.268, com.kakao.talk
 2017.09.05_20.50.50.748, com.lge.signboard
 2017.09.05_20.50.53.222, com.kakao.talk
 2017.09.05_20.51.07.077, com.lge.signboard
 2017.09.05_20.52.22.897, com.kakao.talk
 2017.09.05_20.52.34.092, com.nhn.android.search
 2017.09.05_20.53.10.170, com.lge.launcher2
 2017.09.05_20.53.10.644, com.android.systemui
 2017.09.05_20.53.13.547, com.lge.launcher2
 2017.09.05_20.53.14.813, com.skt.prod.tphonelite
 2017.09.05_20.53.35.065, com.lge.signboard
 2017.09.05_20.58.45.251, com.skt.prod.tphonelite
 2017.09.05_20.58.47.450, com.kakao.talk
 2017.09.05_21.00.01.188, com.lge.signboard
 2017.09.05_21.00.22.472, com.kakao.talk
 2017.09.05_21.00.47.455, com.skt.prod.tphonelite
 2017.09.05_21.00.48.331, com.lge.launcher2
 2017.09.05_21.00.50.496, com.facebook.katana
 2017.09.05_21.02.34.950, com.lge.launcher2
 2017.09.05_21.02.36.664, com.kakao.talk
 2017.09.05_21.02.38.023, com.lge.launcher2
 2017.09.05_21.02.39.744, com.facebook.orca
 2017.09.05_21.04.52.059, com.kakao.talk
 2017.09.05_21.04.56.814, com.lge.signboard
 2017.09.05_21.05.12.380, com.kakao.talk
 2017.09.05_21.05.26.955, com.lge.launcher2
 2017.09.05_21.05.30.143, com.android.systemui
 2017.09.05_21.05.30.443, com.nhn.android.search
 2017.09.05_21.05.32.141, com.lge.signboard
 2017.09.05_21.05.57.921, com.nhn.android.search
 2017.09.05_21.06.58.850, com.lge.launcher2
 2017.09.05_21.07.01.868, com.facebook.katana
 2017.09.05_21.08.02.302, com.lge.signboard
 2017.09.05_21.08.03.622, com.facebook.katana
 2017.09.05_21.09.22.449, com.lge.launcher2
 2017.09.05_21.09.23.435, com.kakao.talk
 2017.09.05_21.10.17.045, com.lge.launcher2
 2017.09.05_21.10.18.435, com.facebook.katana
 2017.09.05_21.11.05.859, com.lge.signboard
 2017.09.05_21.11.48.745, com.facebook.katana
 2017.09.05_21.11.51.058, com.lge.launcher2
 2017.09.05_21.11.52.593, com.nhn.android.search
 2017.09.05_21.12.21.014, com.lge.signboard
 2017.09.05_21.12.48.431, com.nhn.android.search
 2017.09.05_21.13.01.232, com.kakao.talk
 2017.09.05_21.13.06.802, com.nhn.android.search
 2017.09.05_21.13.07.226, com.kakao.talk
 2017.09.05_21.14.55.394, com.lge.signboard
 2017.09.05_21.16.55.385, com.kakao.talk
 2017.09.05_21.19.15.945, com.lge.signboard
 2017.09.05_21.20.49.870, com.kakao.talk
 2017.09.05_21.21.29.045, com.lge.signboard
 2017.09.05_21.21.30.815, com.kakao.talk
